BS_IP,BS_MAC,A_WG_IP,A_YW_IP,A_PORT,PW,B_IP
8.149.26.131,a4a1.c237.2ecf,4.111.225.105,3.111.225.105, ,pw20006,14.152.160.182
8.149.26.132,a4a1.c237.15c5,4.111.225.104,3.111.225.104,GE0/5/1.300,pw20005,14.152.160.182
8.149.26.130,a4a1.c237.2ecf,4.111.225.105,3.111.225.105,GE0/5/2.300,pw20007,14.152.160.182
8.149.26.133,a4a1.c237.15c5,4.111.225.104,3.111.225.104,GE0/5/1.200,pw20004,14.152.160.182
8.149.26.134,a4a1.c236.f6dc,4.111.225.102,3.111.225.102,GE0/5/1.300,pw20001,14.152.160.182
8.149.26.135,a4a1.c236.f6dc,4.111.225.102,3.111.225.102,GE0/5/1.200,pw20000,14.152.160.182
8.149.26.136,a4a1.c236.fb9e,4.111.225.103,3.111.225.103,GE0/5/2.300,pw20003,14.152.160.182
8.149.26.138,a4a1.c236.4e80,4.111.225.104,3.111.225.104,GE0/5/2.300,pw20011,14.152.160.182
8.149.26.137,a4a1.c236.fb9e,4.111.225.103,3.111.225.103,GE0/5/2.200,pw20002,14.152.160.182
8.149.26.139,a4a1.c236.4e80,4.111.225.104,3.111.225.104,GE0/5/2.200,pw20010,14.152.160.182
8.149.26.140,a4a1.c237.03ce,4.111.225.102,3.111.225.102,GE0/6/1.300,pw20009,14.152.160.182
8.149.26.141,a4a1.c237.03ce,4.111.225.102,3.111.225.102,GE0/6/1.200,pw20008,14.152.160.182
8.149.26.142,a4a1.c236.6c2b,4.111.225.105,3.111.225.105,GE0/6/3.300,pw20013,14.152.160.182
8.149.26.143,a4a1.c236.6c2b,4.111.225.105,3.111.225.105,GE0/6/3.200,pw20012,14.152.160.182
8.149.26.144,a4a1.c236.6031,4.111.225.102,3.111.225.102,GE0/5/2.300,pw20015,14.152.160.182
8.149.26.145,a4a1.c236.6031,4.111.225.102,3.111.225.102,GE0/5/2.200,pw20014,14.152.160.182
8.149.26.146,a4a1.c236.63b1,4.111.225.104,3.111.225.104,GE0/6/1.300,pw20017,14.152.160.182
8.149.26.147,a4a1.c236.63b1,4.111.225.104,3.111.225.104,GE0/6/1.200,pw20016,14.152.160.182
8.149.26.149,a4a1.c27a.3964,4.111.225.104,3.111.225.104,GE0/6/2.200,pw20018,14.152.160.182
8.149.26.150,a4a1.c237.37b9,4.111.225.103,3.111.225.103,GE0/5/1.300,pw20021,14.152.160.182
8.149.26.148,a4a1.c27a.3964,4.111.225.104,3.111.225.104,,pw20019,14.152.160.182
8.149.26.151,a4a1.c237.37b9,4.111.225.103,3.111.225.103,GE0/5/1.200,pw20020,14.152.160.182
8.149.26.152,a4a1.c237.321e,4.111.225.103,3.111.225.103,GE0/6/1.300,pw20023,14.152.160.182
8.149.26.153,a4a1.c237.321e,4.111.225.103,3.111.225.103,GE0/6/1.200,pw20022,14.152.160.182
